,Itemcode,Item Description,Brand,Pack-size,Vendor ID,Receive Date,PO Number,PO Line #,Ordered Quantity,Order UOM,Received Quantity,Rec. UOM,Weight (LB),Variance (Quantity),Estimate Inventory Cost,Actual Inventory Cost,Variance (Inventory Cost),Estimate Add-on Cost,Actual Add-on Cost,Variance (Add-on Cost),Price per Case ($)
79,APP12,Apple McIntosh polybag 12/3#,,,ROG,03/23/2015,1618,2,120,CS,120,CS,0.0,0.0,2160.0,2160.0,0.0,150.0,150.0,0.0,18.0
80,APP13,Apple McIntosh tote 8/5#,,,BHO,10/27/2014,1349,6,70,CS,70,CS,0.0,0.0,1435.0,1435.0,0.0,0.0,0.0,0.0,20.5
81,APP13,Apple McIntosh tote 8/5#,,,BHO,10/11/2015,2831,3,105,CS,105,CS,0.0,0.0,2073.75,2073.75,0.0,0.0,0.0,0.0,19.75
82,APP14,Apple McIntosh 88s,,,BHO,09/21/2014,1109,2,168,CS,168,CS,0.0,0.0,4368.0,4368.0,0.0,769.63,769.63,0.0,26.0
83,APP14,Apple McIntosh 88s,,,ROG,09/21/2014,1116,1,42,CS,42,CS,0.0,0.0,1134.0,1134.0,0.0,192.41,192.41,0.0,27.0
84,APP14,Apple McIntosh 88s,,,BHO,09/22/2014,1105,1,420,CS,376,CS,0.0,-10.48,8930.0,8930.0,0.0,0.0,0.0,0.0,23.75
87,APP14,Apple McIntosh 88s,,,BHO,10/27/2014,1349,5,42,CS,42,CS,0.0,0.0,1071.0,1071.0,0.0,0.0,0.0,0.0,25.5
88,APP14,Apple McIntosh 88s,,,BHO,11/07/2014,1397,1,84,CS,84,CS,0.0,0.0,2184.0,2184.0,0.0,0.0,0.0,0.0,26.0
89,APP14,Apple McIntosh 88s,,,BHO,11/17/2014,1419,1,168,CS,168,CS,0.0,0.0,4368.0,4368.0,0.0,0.0,0.0,0.0,26.0
90,APP14,Apple McIntosh 88s,,,ROG,12/12/2014,1460,1,84,CS,84,CS,0.0,0.0,1923.6,1923.6,0.0,130.0,130.0,0.0,22.9
91,APP14,Apple McIntosh 88s,,,ROG,12/15/2014,1461,1,84,CS,84,CS,0.0,0.0,1923.6,1923.6,0.0,130.0,130.0,0.0,22.9
92,APP14,Apple McIntosh 88s,,,ROG,12/22/2014,1473,1,84,CS,84,CS,0.0,0.0,1923.6,1923.6,0.0,160.58,160.58,0.0,22.9
93,APP14,Apple McIntosh 88s,,,ROG,12/23/2014,1490,1,84,CS,84,CS,0.0,0.0,1890.0,1890.0,0.0,0.0,0.0,0.0,22.5
94,APP14,Apple McIntosh 88s,,,ROG,01/05/2015,1493,1,84,CS,84,CS,0.0,0.0,1923.6,1923.6,0.0,105.0,105.0,0.0,22.9
