"School District",SchoolName,Enrollment,AvgDailyAtt,FreeApps,ReducedApps,"Total F/R Apps","F/R ADA","F/R %","Paid ADA",LunchDays,LunchPaid,LunchFree,LunchReduced,"Total F/R Lunches","Total Lunches","Lunch ADP","Total Lunch Participation","F/R Lunch ADP","F/R Lunch Participation","Paid Lunch ADP","Paid Lunch Participation",BreakfastDays,BrkPaid,BrkFree,BrkReduced,BrkSvrNeedFree,BrkSvrNeedReduced,"Total F/R Breakfasts","Total Breakfasts","Breakfast ADP","Total Breakfast Participation","F/R Breakfast ADP","F/R Breakfast Participation","Paid Breakfast ADP","Paid Breakfast Participation","How many kids eligible for F/R ate lunch but not school breakfast?","Percentage of students eligible for F/R meals who eat both breakfast and lunch ","MSBC Goal","Breakfast ADP needed to reach goal ","Increase in breakfast ADP to reach goal ","Progress toward achieving MSBC goal","Breakfast Paid %","Breakfast Free %","Breakfast Reduced %","Breakfast Severe Free %","Breakfast Severe Reduced %","Estimated additional annual revenue if MSBC goal reached","CEP Eligible",County
"Adams-Cheshire Regional School District","HOOSAC VALLEY MIDDLE AND HIGH SCHOOL",797,777,580,0,580,565.4454203262234,0.7277289836888331,211.55457967377666,18,1457,6776,0,6776,8233,457.3888888888889,0.5886600886600887,376.44444444444446,0.6657485071278174,80.94444444444444,0.38261731118873976,18,934,0,0,4344,0,4344,5278,293.22222222222223,0.37737737737737737,241.33333333333334,0.4268021716297578,51.888888888888886,0.24527424066594572,135.11111111111111,0.641086186540732,0.8,622,328.77777777777777,0.4714183637013219,0.17696097006441833,0,0,0.8230390299355816,0,90328.1001894657,"Not Eligible",
"Adams-Cheshire Regional School District","HOOSIC VALLEY ELEMENTARY SCHOOL",401,362,401,0,401,362,1,0,18,682,3169,0,3169,3851,213.94444444444446,0.5910067526089626,176.05555555555554,0.48634131368937994,37.888888888888886,0,18,975,0,0,4536,0,4536,5511,306.1666666666667,0.8457642725598528,252,0.6961325966850829,54.166666666666664,0,0,1.431366361628274,0.8,290,0,1,0.1769188894937398,0,0,0.8230811105062602,0,0,"Not Eligible",
"Agawam Public Schools","JAMES CLARK SCHOOL",334,309,114,30,144,133.22155688622755,0.4311377245508982,175.77844311377245,19,1881,1683,444,2127,4008,210.94736842105263,0.6826775677056719,111.94736842105263,0.8403097144154885,99,0.5632089933571793,19,107,0,0,167,5,172,279,14.68421052631579,0.04752171691364333,9.052631578947368,0.06795170234107382,5.631578947368421,0.03203793848443285,102.89473684210526,0.08086506817113305,0.5,155,140.31578947368422,0.09473684210526316,0.3835125448028674,0,0,0.5985663082437276,0.017921146953405017,30912.926315789475,Eligible,
"Agawam Public Schools","AGAWAM JUNIOR HIGH",572,532,176,62,238,221.35664335664336,0.4160839160839161,310.64335664335664,19,2657,2467,900,3367,6024,317.05263157894734,0.59596359319351,177.21052631578948,0.8005656556251309,139.8421052631579,0.45016930918534914,19,168,0,0,326,116,442,610,32.10526315789474,0.060348239018599134,23.263157894736842,0.10509356097009441,8.842105263157896,0.028463847927413872,153.94736842105263,0.13127413127413126,0.5,266,233.89473684210526,0.12069647803719827,0.2754098360655738,0,0,0.5344262295081967,0.1901639344262295,60486.099188956,"Near Eligible",
"Agawam Public Schools","AGAWAM MIDDLE SCHOOL",574,541,219,43,262,246.93728222996518,0.4564459930313589,294.06271777003485,19,3089,3282,493,3775,6864,361.2631578947368,0.6677692382527483,198.68421052631578,0.8045938172320501,162.57894736842104,0.5528716751355139,19,78,0,0,425,38,463,541,28.473684210526315,0.05263157894736842,24.36842105263158,0.09868263241812959,4.105263157894737,0.013960501994357428,174.3157894736842,0.12264900662251656,0.5,271,242.5263157894737,0.10506894542629637,0.14417744916820702,0,0,0.7855822550831792,0.07024029574861368,69683.77281836755,"Near Eligible",
"Agawam Public Schools","ROBINSON PARK",365,341,158,27,185,172.83561643835617,0.5068493150684932,168.16438356164383,19,1804,2377,433,2810,4614,242.8421052631579,0.712146936255595,147.89473684210526,0.8556959490745568,94.94736842105263,0.5646104508583286,19,52,0,0,531,89,620,672,35.36842105263158,0.10371970983176416,32.63157894736842,0.18880124143282034,2.736842105263158,0.016274802352900825,115.26315789473685,0.22064056939501778,0.5,171,135.6315789473684,0.20683287165281627,0.07738095238095238,0,0,0.7901785714285714,0.1324404761904762,41855.66306390977,"Near Eligible",
"Agawam Public Schools","AGAWAM HIGH",1165,1105,307,96,403,382.24463519313304,0.3459227467811159,722.755364806867,19,4905,3594,888,4482,9387,494.05263157894734,0.4471064539175994,235.89473684210526,0.6171302750211707,258.1578947368421,0.35718571913447705,19,17,0,0,163,15,178,195,10.263157894736842,0.009287925696594427,9.368421052631579,0.024508966745597587,0.8947368421052632,0.00123795254338147,226.52631578947367,0.03971441320838911,0.5,553,542.7368421052631,0.018559055867516893,0.08717948717948718,0,0,0.8358974358974359,0.07692307692307693,164434.23352226723,"Not Eligible",
"Agawam Public Schools","BENJAMIN J PHELPS",387,351,131,22,153,138.7674418604651,0.3953488372093023,212.23255813953486,19,2305,1843,286,2129,4434,233.3684210526316,0.6648672964462439,112.05263157894737,0.8074850272992689,121.3157894736842,0.5716172416577275,19,198,584,100,0,0,684,882,46.421052631578945,0.13225371120107962,36,0.2594268476621418,10.421052631578947,0.04910204505346206,76.05263157894737,0.3212775951150775,0.5,176,129.57894736842104,0.263755980861244,0.22448979591836735,0.6621315192743764,0.11337868480725624,0,0,28591.991407089146,"Not Eligible",
"Agawam Public Schools","CLIFFORD M GRANGER",282,258,97,20,117,107.04255319148936,0.4148936170212766,150.95744680851064,19,1514,1251,233,1484,2998,157.78947368421052,0.6115871073031416,78.10526315789474,0.7296655472910063,79.6842105263158,0.5278587589481103,19,149,0,0,453,45,498,647,34.05263157894737,0.13198694410444717,26.210526315789473,0.24486081034428647,7.842105263157895,0.051949111679833834,51.89473684210527,0.3355795148247978,0.5,129,94.94736842105263,0.26397388820889434,0.2302936630602782,0,0,0.7001545595054096,0.0695517774343122,25084.24358578053,"Not Eligible",
"ALMA DEL MAR CHARTER SCHOOL","ALMA DEL MAR CHARTER SCHOOL",402,392,379,0,379,369.5721393034826,0.9427860696517413,22.427860696517413,18,254,4287,0,4287,4541,252.27777777777777,0.6435657596371882,238.16666666666666,0.6444389101286953,14.11111111111111,0.6291777580597456,19,210,0,0,3543,0,3543,3753,197.52631578947367,0.5038936627282492,186.47368421052633,0.5045664009250417,11.052631578947368,0.4928081072245832,51.69298245614033,0.7829545873080183,0.8,314,116.47368421052633,0.6290646999664766,0.055955235811350916,0,0,0.9440447641886491,0,35779.87784929952,Enrolled,
"Amesbury Public Schools","AMESBURY ELEMENTARY",409,389,101,36,137,130.30073349633253,0.33496332518337407,258.6992665036675,17,1527,1173,362,1535,3062,180.11764705882354,0.4630273703311659,90.29411764705883,0.6929670710533664,89.82352941176471,0.3472121534232928,17,105,0,0,466,17,483,588,34.588235294117645,0.08891577196431272,28.41176470588235,0.21804761910017978,6.176470588235294,0.02387509895837966,61.88235294117648,0.31465798045602605,0.5,195,160.41176470588235,0.1773755656108597,0.17857142857142858,0,0,0.7925170068027211,0.02891156462585034,44252.53163265306,"Not Eligible",
"Amesbury Public Schools","AMESBURY HIGH",588,558,80,32,112,106.28571428571429,0.19047619047619047,451.7142857142857,17,2049,745,298,1043,3092,181.88235294117646,0.3259540375289901,61.35294117647059,0.5772454142947501,120.52941176470588,0.26682665476057593,17,19,0,0,62,4,66,85,5,0.008960573476702509,3.8823529411764706,0.036527514231499046,1.1176470588235294,0.0024742344755739106,57.470588235294116,0.06327900287631831,0.25,140,135,0.03571428571428571,0.2235294117647059,0,0,0.7294117647058823,0.047058823529411764,35746.7294117647,"Not Eligible",
"Amesbury Public Schools","AMESBURY INNOVATION HIGH SCHOOL",49,47,34,3,37,35.48979591836734,0.7551020408163265,11.510204081632653,17,77,389,26,415,492,28.941176470588236,0.6157697121401752,24.41176470588235,0.6878530595677029,4.529411764705882,0.39351272423863165,17,0,0,0,423,0,423,423,24.88235294117647,0.5294117647058824,24.88235294117647,0.701112877583466,0,0,0,1.019277108433735,0.8,38,13.117647058823529,0.6547987616099071,0,0,0,1,0,4226.505882352941,"Not Eligible",
"Amesbury Public Schools","AMESBURY MIDDLE",685,651,179,46,225,213.83211678832117,0.3284671532846715,437.1678832116788,17,2455,2204,533,2737,5192,305.4117647058824,0.4691424957079606,161,0.7529271206690561,144.41176470588235,0.33033479871612037,17,119,0,0,626,52,678,797,46.88235294117647,0.07201590313544773,39.88235294117647,0.18651245444414324,7,0.016012155212716223,121.11764705882354,0.24771647789550602,0.5,326,279.11764705882354,0.14381089859256585,0.1493099121706399,0,0,0.7854454203262233,0.06524466750313676,79737.85312569192,"Not Eligible",
"Amesbury Public Schools","CHARLES C CASHMAN ELEM",453,430,134,35,169,160.41942604856513,0.3730684326710817,269.58057395143487,17,1309,1544,315,1859,3168,186.35294117647058,0.43337893296853625,109.3529411764706,0.6816689466484268,77,0.2856288896167704,17,170,0,0,710,84,794,964,56.705882352941174,0.13187414500683994,46.705882352941174,0.29114854418442754,10,0.03709466098919096,62.64705882352942,0.42711135018827323,0.5,215,158.29411764705884,0.2637482900136799,0.17634854771784234,0,0,0.7365145228215768,0.08713692946058091,44260.414620454,"Not Eligible",
"Amherst School Committee","CROCKER FARM ELEMENTARY",433,409,183,14,197,186.080831408776,0.45496535796766746,222.919168591224,18,1502,2525,165,2690,4192,232.88888888888889,0.569410486280902,149.44444444444446,0.8031157390744349,83.44444444444444,0.37432601678799515,18,230,0,0,1152,60,1212,1442,80.11111111111111,0.1958706873132301,67.33333333333333,0.3618499166387416,12.777777777777779,0.05732022893557849,82.11111111111113,0.4505576208178438,0.5,205,124.88888888888889,0.39078590785907863,0.15950069348127602,0,0,0.7988904299583911,0.04160887656033287,35177.30263522885,"Not Eligible",
"Amherst School Committee","FORT RIVER ELEMENTARY",336,324,135,19,154,148.5,0.4583333333333333,175.5,18,1224,1804,245,2049,3273,181.83333333333334,0.5612139917695473,113.83333333333333,0.7665544332210998,68,0.38746438746438744,18,218,0,0,1027,69,1096,1314,73,0.22530864197530864,60.888888888888886,0.41002618780396555,12.11111111111111,0.06900918012029122,52.94444444444444,0.5348950707662274,0.5,162,89,0.4506172839506173,0.1659056316590563,0,0,0.7815829528158296,0.05251141552511415,24968.035616438356,"Not Eligible",
"Amherst School Committee","WILDWOOD ELEMENTARY",404,386,162,18,180,171.98019801980197,0.44554455445544555,214.019801980198,18,1311,2021,204,2225,3536,196.44444444444446,0.508923431203224,123.61111111111111,0.7187519989765241,72.83333333333333,0.3403111892425364,18,192,0,0,838,72,910,1102,61.22222222222222,0.15860679332181923,50.55555555555556,0.2939614917162413,10.666666666666666,0.04983962496915865,73.05555555555556,0.40898876404494383,0.5,193,131.77777777777777,0.31721358664363847,0.17422867513611615,0,0,0.7604355716878403,0.06533575317604355,36765.99999999999,"Not Eligible",
"Amherst/Pelham Regional School District","SUMMIT ACADEMY",27,26,15,1,16,15.407407407407407,0.5925925925925926,10.592592592592592,18,72,118,0,118,190,10.555555555555555,0.405982905982906,6.555555555555555,0.4254807692307692,4,0.37762237762237766,18,11,0,0,64,0,64,75,4.166666666666667,0.16025641025641027,3.5555555555555554,0.23076923076923078,0.6111111111111112,0.0576923076923077,3,0.5423728813559322,0.5,13,8.833333333333332,0.32051282051282054,0.14666666666666667,0,0,0.8533333333333334,0,2498.632,Eligible,
"Amherst/Pelham Regional School District","AMHERST REGIONAL HIGH",919,842,269,34,303,277.6126224156692,0.3297062023939064,564.3873775843308,18,3091,2591,279,2870,5961,331.1666666666667,0.3933095803642122,159.44444444444446,0.5743414800704141,171.72222222222223,0.3042630452814538,18,229,0,0,969,61,1030,1259,69.94444444444444,0.08306941145420955,57.22222222222222,0.20612255208101968,12.722222222222221,0.022541649100437697,102.22222222222223,0.3588850174216028,0.5,421,351.05555555555554,0.1661388229084191,0.181890389197776,0,0,0.7696584590945195,0.048451151707704525,96903.04447974585,"Not Eligible",
"Amherst/Pelham Regional School District","AMHERST REGIONAL MIDDLE",404,382,142,13,155,146.55940594059405,0.38366336633663367,235.44059405940592,18,1578,1796,110,1906,3484,193.55555555555554,0.5066899360093077,105.88888888888889,0.7224980765261124,87.66666666666667,0.3723515352859957,18,108,0,0,782,17,799,907,50.388888888888886,0.13190808609656776,44.388888888888886,0.30287301319221605,6,0.02548413549485902,61.5,0.419202518363064,0.5,191,140.61111111111111,0.2638161721931355,0.11907386990077178,0,0,0.8621830209481808,0.018743109151047408,40956.714553472986,"Not Eligible",
"Andover Public Schools","ANDOVER HIGH",1792,1720,151,40,191,183.32589285714286,0.10658482142857142,1536.674107142857,17,13608,1680,335,2015,15623,919,0.5343023255813953,118.52941176470588,0.6465503040373582,800.4705882352941,0.5209110926737821,18,3079,883,187,0,0,1070,4149,230.5,0.13401162790697674,59.44444444444444,0.32425558396579945,171.05555555555554,0.11131544076941575,59.08496732026144,0.5015164047422112,0.25,430,199.5,0.536046511627907,0.7421065316943842,0.21282236683538203,0.04507110147023379,0,0,21908.648590021694,"Not Eligible",
